年月日,全天日射量,R_GRD
1999-06-30,484.19,1102.989218199158
1999-07-31,545.41,1196.4414478516746
1999-08-31,588.68,1234.8761276116654
1999-09-30,408.52,1154.304382804663
1999-10-31,341.76,1075.0358928132653
1999-11-30,261.64,956.503942834982
1999-12-31,275.82,907.4274594692006
2000-01-31,271.04,907.8176585916714
2000-02-29,388.05,826.1935111566305
2000-03-31,486.07,937.647145443955
2000-04-30,503.6,981.6724021520367
2000-05-31,569.39,1086.5923007458437
2000-06-30,444.8,1096.495267066927
2000-07-31,606.38,1214.3621705156381
2000-08-31,558.22,1221.0090279463454
2000-09-30,392.77,1135.2152429501193
2000-10-31,287.42,1067.6470348500009
2000-11-30,213.84,953.6901173119004
2000-12-31,262.92,910.1519053768876
2001-01-31,294.04,866.1746748094037
2001-02-28,324.16,805.4257962451387
2001-03-31,433.86,939.5139462795221
2001-04-30,562.85,993.0905930873948
2001-05-31,521.24,1087.774668528507
2001-06-30,460.81,1104.9140751638033
2001-07-31,695.82,1227.4935092792423
2001-08-31,455.25,1191.441022729958
2001-09-30,358.63,1101.9561175630583
2001-10-31,344.53,1063.25546498968
2001-11-30,277.32,931.43552110316
2001-12-31,271.81,900.9402951110686
2002-01-31,299.42,899.6672490369904
2002-02-28,326.84,822.3956125611952
2002-03-31,449.7,975.8342089312138
2002-04-30,502.12,1000.0567746533487
2002-05-31,550.46,1068.4726177318041
2002-06-30,469.64,1079.7118725913365
2002-07-31,558.95,1216.3577483950123
2002-08-31,590.55,1219.154239679258
2002-09-30,352.27,1101.9847786332125
2002-10-31,365.42,1068.5549498038708
2002-11-30,257.78,921.5397272625785
2002-12-31,221.51,894.8887501099773
2003-01-31,311.62,878.0928305336624
2003-02-28,305.18,806.38583043259
2003-03-31,453.68,928.0769822538477
2003-04-30,459.58,987.2830831686902
2003-05-31,501.54,1074.6128833984185
2003-06-30,446.21,1101.7500255992552
2003-07-31,372.23,1134.6709988850598
2003-08-31,428.18,1188.2849155896288
2003-09-30,427.21,1116.526499149848
2003-10-31,339.27,1051.4232218459763
2003-11-30,208.4,975.7653876858453
2003-12-31,260.64,914.1137620277943
2004-01-31,318.58,883.9289654125986
2004-02-29,394.75,858.9532889077551
2004-03-31,438.36,944.2862821370695
2004-04-30,558.42,997.750163475754
2004-05-31,489.88,1085.5483273816608
2004-06-30,548.08,1108.0970142696303
2004-07-31,684.5,1218.3603033624513
2004-08-31,539.3,1204.6278157083264
2004-09-30,416.65,1134.5066646809914
2004-10-31,265.71,1051.8472537653436
2004-11-30,262.21,978.2310254377958
2004-12-31,249.96,930.8222205944303
2005-01-31,311.69,885.0099933276944
2005-02-28,334.16,804.1426807370879
2005-03-31,439.28000000000003,928.4792693225567
2005-04-30,542.18,983.9761346957529
2005-05-31,577.55,1055.207433496074
2005-06-30,455.16,1104.8345547719439
2005-07-31,467.75,1179.5099977709053
2005-08-31,536.98,1221.2816872493977
2005-09-30,424.25,1130.9753258834214
2005-10-31,277.93,1080.2579068443952
2005-11-30,318.54,937.9652842251587
2005-12-31,302.73,876.0465384407477
2006-01-31,279.53,872.3253217385297
2006-02-28,275.09,813.5446215294514
2006-03-31,467.45,946.2549019648105
2006-04-30,445.23,968.4558214277909
2006-05-31,461.8,1080.7981499348687
2006-06-30,424.32,1098.519157382473
2006-07-31,389.16,1180.8822428285252
2006-08-31,487.7,1212.7305656150522
2006-09-30,376.78,1113.7079961964978
2006-10-31,341.67,1081.3375712012526
2006-11-30,269.21,967.4549310964932
2006-12-31,228.83,928.7472792917766
2007-01-31,294.99,902.9448808853266
2007-02-28,355.72,834.4544028154857
2007-03-31,482.96999999999997,959.1429088157772
2007-04-30,475.02,972.1308514536801
2007-05-31,607.76,1085.8684322102952
2007-06-30,569.06,1107.8524114061095
2007-07-31,389.7,1162.5787518240093
2007-08-31,597.02,1234.8633183450231
2007-09-30,399.23,1140.0609708542079
2007-10-31,334.43,1068.4172709663997
2007-11-30,264.97,947.7127735651887
2007-12-31,257.51,915.2559024260355
2008-01-31,280.81,881.8080779820937
2008-02-29,386.23,826.6333429195481
2008-03-31,449.88,952.818146475695
2008-04-30,460.36,981.4270728509965
